,review,review_en
365,好评！一直在购买！好评！一直在购买！好评！一直在购买！,Praise! Been buying! Praise! Been buying! Praise! Been buying!
366,我家狗狗一直都在吃，很好,"My dog ​​has been eating, very good"
367,之前因为去过厦门，才会知道黄则和，非常好吃。送人也非常不错。,"Because I've been to Xiamen before, I will know Huang Zeh-huh, very delicious. Giving is also very good."
368,手机很好看，不卡，还是比较满意的，但是像素不够好，打王者电量比较消耗快，没有闪充，一千多算是比较划算的,"Mobile phone looks good, not card, or more satisfactory, but the pixel is not good enough, playing King is more consumption of electricity, there is no flash charge, more than a thousand is more cost-effective"
369,除了被套颜色有小点偏蓝。其他各方面都很满意的,In addition to quilt cover a little blue color. Other aspects are very satisfied
370,还行，就是杂在一起，很乱,"Ok, that is mixed together, chaos"
371,二次购买，真心不错?,"Second purchase, really good?"
372,质量不错， 用劵挺便宜，值得购买，一直支持京东又快又省钱！质量不错， 用劵挺便宜，值得购买，一直支持京东又快又省钱！,"Good quality, quite cheap tickets, it is worth buying, has been to support Jingdong fast and save money! Good quality, quite cheap tickets, it is worth buying, has been to support Jingdong fast and save money!"
373,狗狗喜欢吃很好,Dogs like to eat well
374,买过很多次，很好吃，会回购,"Bought many times, it is delicious, will repurchase"
375,不错，还没有使用，希望用起来更好，期待着&hellip;&hellip;,"Good, not used, I hope to use it better, looking forward to & hellip; & hellip;"
376,盒子坏掉了有一丝不开心,The box is broken with a trace of unhappiness
377,只能说，勉强吧,"Can only say, barely it"
378,"发貨速度快,今天訂隔天就收到,產品質量尚可","Delivery speed, book the next day received, product quality is acceptable"
379,喜欢吃！很甜 ，甜的很齁儿！越吃越想吃！然后被齁儿齁儿齁儿！减肥的没毅力的别买哈！快递小哥的态度很赞\(≧▽≦)/！一向好呵呵,"like to eat! Very sweet, very sweet! Eat more want to eat! And then be a child, a child, a child! No perseverance to lose weight do not buy ha! Express little brother's attitude is like \ (≧ ▽ ≦) /! Always good Oh"
380,东西很好味道不错快来买吧,Good taste good Come buy it
381,11111111,11111111
382,家里的猫根本不吃，自己尝了一下，太咸了，而且没有鱼味儿，小银鱼根本就是鱼皮。。只能给差评了,"Cats at home do not eat, taste for yourself, too salty, and no fish, small fish is simply skin. . Can only give a bad review"
383,礼券收到啦，好高端大气~绝对上档次~买来送领导滴，领导很喜欢~比直接送蟹子强多啦，还方便！店家的服务也超级好，客服好的没话说，物流也很给力！全5分！！！下次再来！&nbsp;　,"Gift vouchers received, a good high-end atmosphere ~ absolutely on the grade ~ buy to send leadership drops, the leaders like to send more than direct crabs, but also convenient! The store's service is super good, good customer service, logistics is awesome! All 5 points! ! ! come back next time! & nbsp;"
384,非常满意的一次购物，发货快，送货也快，而且包装精美，女朋友一定会很开心的，祝店家生意兴隆,"Very satisfied with a shopping, fast delivery, delivery is fast, and the packaging beautiful, girlfriend will be very happy, I wish the store business is booming"
385,收到后很惊喜，包装很好，其中有一个磕着了坏了，联系客服后当时就微信支付给我了一个的价格。过了几天熟了以后尝了确实很甜，很好吃，有一个不是很软我也切开吃了，还是很甜。买了两种，绿心的没有这么甜，但是也好吃。确实不错的体验。,"After receiving a very pleasant surprise, well packaged, of which there is a knock on the bad, contact customer service at the time after the micro-channel to pay me a price. After a few days cooked and tasted really sweet, very delicious, there is not a very soft I also cut eat, or very sweet. Bought two, green heart is not so sweet, but also delicious. Really good experience."
386,有点小贵，吃着还行,"A little expensive, eating okay"
387,还不错&hellip;&hellip;,Not bad & hellip; & hellip;
388,实物跟图片的包装纸不一样，找了每个角落都没有日期!有点失望&hellip;试吃了一个还行，就算了,"Kind with the picture of the wrapping paper is not the same, looking for every corner without a date! A little disappointed to eat a okay, even if"
389,东西很好，很喜欢，京东一如既往给力,"Things are good, like, Jingdong, as always, to force"
390,口感好特价买的味道不错个个开口,Good taste good buy a good taste of all the openings
391,送货快，价格便宜、服务好,"Fast delivery, cheap, good service"
392,不好，狗狗不爱吃,"Not good, dogs do not like to eat"
393,有一袋漏气发霉,Have a bag leaky moldy
394,买过一次吃这还可以！宝宝很喜欢,Bought once to eat this can be! Baby likes it very much
395,买家印象价格便宜口味不错商品不错当早点吃黑糖很健康粗粮饼干口感好包装不错,Impressed by the buyer's impression of good taste good merchandise Good morning snack of brown sugar is very good
396,现在好看不出，和其他粮食一起喂得。,Now I can not see it and feed it with other food.
397,还可以，已经多少购买这种红枣了，个大干净,"You can also, how much has been the purchase of this date, a big clean"
398,很小一罐，第一直觉就是这点容量就算装满也没有多少肉。今天打开来看，倒了半桶汁，才看到肉。全部盛出来就图四那些。不用我评价，看到人如果觉得值一张毛爷爷我无话可说。,"A small tank, the first instinct is that even if the capacity is not filled with much meat. Open today look, pour half a barrel of juice, only to see the meat. All Sheng out of those four. Without my evaluation, I see that if people think there is nothing I can say with a hair grandfather."
399,非常非常非常非常非常不错，支持京东快递，,"Very very very very very very good, support Jingdong Express,"
400,猫猫很喜欢。,Cats like it very much.
401,挺不错的，生怕遇上电池发热，用了几天没发现这现象，系统也还可以不卡。,"Very good, for fear of meeting the battery fever, with a few days did not find this phenomenon, the system can also not card."
402,东西肯定不错,Things are definitely good
403,京东优惠促销购买的，物美价廉，不错不错,"Jingdong promotions to buy, inexpensive, not bad"
404,还行,Okay
405,价格太贵，两种味道为什么是一种味道,"The price is too expensive, why two flavors are a taste"
406,儿子说不错，没有外面买的甜，不过我很喜欢。,"My son said good, no sweet outside, but I really like it."
407,甜口,Sweet mouth
408,床单到了，很好看，迫不及待的铺上了，显摆显摆&hellip;,"Sheets arrived, look good, can not wait to shop, and show off"
409,，，，，，，，，，，,，，，，，，，，，，
410,三角朱古力，牛奶味不是很浓，一共12条，日期当然不新鲜啦，份量补足。,"Triangle chocolate, milk flavor is not very strong, a total of 12, the date of course, not new friends, make up the amount."
411,送来的时候盒子都打开了。。。。。。,The boxes were opened when sent. . . . . .
412,可以。。。。。,can. . . . .
413,好好,Well
414,东西不错，36度高温天气既然没用冰袋，打开都化了，2017-05-20收到,"Things are good, 36 degrees since the cold weather is useless ice packs, open all of them, 2017-05-20 received"
415,，，，，，，，，，，，，，，，,，，，，，，，，，，，，，，，
416,好！果子很大！有7个,it is good! Great fruit! There are seven
417,很好吃，卖家有卖就好了,"Very tasty, sellers just sell it"
418,种类不少孩子喜欢，,"Many kinds of children like,"
419,不好吃，果特别硬，超容易伤口腔，以后再也不买,"Not tasty, particularly hard fruit, super easy wounds, never buy again"
420,看手机是拒绝的就是看看,Look at the phone is rejected is to see
421,物美价廉，值的下单，狗狗喜欢的味道，赶快下单,"Cheap, value of the order, the dog likes the taste, quickly order"
422,合着二十三一盒，应该比超市便宜了吧。我出去买菜正好碰见送货员直接就就拿回家了，真的很巧。喜欢吃，日期也很新！满意。,"Twenty-three one box, should be cheaper than the supermarket. I went out to buy food just met deliveryman took home directly, really smart. Like to eat, the date is also very new! satisfaction."
423,布料摸着挺厚实，颜色正。图案可以和图片上一样的，枕套也大，我的那个大枕头够用了,"Fabrics touch quite thick, color is positive. Pattern can be the same as the picture, pillowcase is also large, my big pillow enough"
424,不怎么好吃呢,Not very tasty yet
425,跟所描述的不一样，，到货都烂了，还发霉，联系售后无人理,"Not the same as described, the arrival is rotten, but also moldy, no contact after-sales manager"
426,此物很不错的 儿子很喜欢。各种口味都不错?,This is a very good son like it. All tastes are good?
427,东西还好，反正他家客服服务真是超级次，以后再也不会买了,"Things are better, anyway, his home service is really super-level, will never be bought"
428,京东送货很快，第一次吃这种白薯干，和平时吃的黄色一条条的不一样，味道比较淡，应该是没加糖的，吃了两小包，有的粘牙有的偏硬，有的是糯糯的就很合适，扣一分因为包装，密封条没有卵用啊，顶部整个是粘住的，撕半天都分不开，还是从密封条下边撕开的&hellip;,"Jingdong delivery soon, the first time to eat this sweet potato dry, and usually eat a yellow is not the same, the taste is relatively light, should be no added sugar, eat two packets, some sticky teeth and some hard, Some waxy waxy is very suitable, buckle a point because the packaging, seal no eggs with ah, the top is sticky, tear apart for a long time can not be separated, or tear from the seal below & hellip;"
429,以后不买了、送不到家里老人不方便取,"Do not buy later, less than home inconvenient to take"
430,新鲜的冷冻的，火锅店里吃的。和哥们边喝酒边吃的，不错。,"Fresh frozen, hot pot restaurant to eat. And buddies while drinking and eating, not bad."
431,还不错，口味！,"Not bad, taste!"
432,极差的一次购物，冰袋都发热了，肉串都发黑，臭了。,"Very poor shopping, ice packs are hot, the skewers are black, smelly."
433,教师节送老师的礼物☠发货速度很快，包装也很漂亮，就是量有点少☠,"Teacher's Day gifts to send the teacher ☠ delivery speed, packaging is also very beautiful, is a little less ☠"
434,这个包装袋，怎么有一种盗版的感觉。。。,"This bag, how there is a feeling of piracy. . ."
435,个大，量足，口感不错,"A large, full foot, good taste"
436,实物和图片不符,In-kind and pictures do not match
437,怎么说呢，手机质感不错，总的还行，就不说太多，直接上图给参考外形！,"How to say it, cell phone texture is good, the total okay, do not say too much, direct reference to the figure on the map!"
438,......,......
439,不错，狗狗爱吃,"Yes, dogs love to eat"
440,好好好，与本地姜有点不同。,"Well, a little different from the local ginger."
441,帮助朋友购买的，朋友说可以。,"Help friends to buy, my friend said yes."
442,没有给封口器，好伤心,"Not to seal, so sad"
443,快递是从火星送来的吗，1号下单，2号说送到，结果3号还没发货。店里的客服态度是蛮好的，可最后还是自己找京东客服才发货，第一次遇到这么能拖的,"Courier is sent from Mars, No. 1 orders, No. 2 said, the results have not shipped on the 3rd. Customer service attitude is very good shopkeepers, but finally found their own customer service Jingdong delivery, so the first encounter so drag"
444,狗狗挺喜欢吃的，自己尝了下，不咸,"Dogs like to eat, their taste, not salty"
445,"很好吃多以购买,吃完还来","Very delicious to buy, eat still"
446,还没有给宝宝吃！,Have not given the baby yet!
447,还不错，起码能看见较大的蟹黄块，味道也可以～,"Not bad, at least to see the larger crab pieces, the taste can be ~"
448,口味不错，价格这个时候最实惠,"Good taste, the most affordable price this time"
449,不会再买礼品包！,Will not buy gift packs!
450,电热毯不错，升温快，面积大，赶脚比较结实。,"Electric blankets good, warming fast, large area, more stalwart foot."
451,第一次在京东买手机，京东快递确实赞，晚上下单隔天中午就到了，快递哥态度服务也不错！第一次用小米手机，从外观来讲毕竟是旗舰机做工还不错，特地用了几天才来评价，系统用起来也挺流畅的，感觉还不错，全面屏还是很惊艳的。支持国货！支持小米！,"For the first time in Jingdong to buy mobile phones, Jingdong Express really like, the next day at noon on the order arrived, courier brother attitudes service is not bad! The first use of millet phone, from the appearance of speaking, after all, the flagship machine is not bad work, specifically with a few days to evaluate the system is also very smooth, I feel pretty good, full screen or very amazing. Support domestic products! Support millet!"
452,说好的南瓜头呢结果是普通的波板糖。。。。。,Say good pumpkin head it is ordinary wave plate sugar. . . . .
453,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。 Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong customer service is also very good, to solve customer suffering, overcome all difficulties. Give us a very good shopping experience.","Thank you very much Jingdong Mall to give high quality service, from warehousing management, logistics and distribution, etc. are doing very well. Delivery in a timely manner, delivery staff are also very enthusiastic, and sometimes inconvenient to receive the time, but also arrange the time to be delivered separately. At the same time Jingdong Mall in the after-sales management is also very good, to solve customer problems, eliminate all difficulties. Give us a very good shopping experience. Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the At the same time in the mall management Jingdong customer service is also very good, to solve customer suffering, overcome all difficulties. Give us a very good shopping experience."
454,给老妈泡茶喝的，颗粒饱满，每天一颗，挺好的,"To mom tea drinking, full of particles, a day, very good"
455,孩子很喜欢,Children like it very much
456,昨天晚上订的 今天一大早9点就到货，京东快递速度很快啊 给力，收到货物包装完整无破损，一直买这个牌子的红糖很好没有怪味 但第一次在京东上面买， 比在超市买方便又划算，就是这包阿胶红糖日期不新鲜是16年12月的！,"Last night tonight set at 9 o'clock early arrival, Jingdong Express ah to force, received a complete no damage to the packaging of the goods, has been buying this brand of brown sugar is not good, but the first time in Beijing to buy above, Than in the supermarket to buy a convenient and cost-effective, is this packet of gelatin brown sugar date is not fresh in December 16!"
457,太太太太太太漂亮了，宾客们看见一定会大吃一惊，这幺精致的糖果包，美丽又实用，excellent！,"Mrs. Mrs. wife beautiful, guests will see will be surprised, this delicate candy bag, beautiful and practical, excellent!"
458,包装很好，这鸭瓜又甜又香又辣很好吃,"The packaging is good, the duck is sweet and spicy and delicious"
459,退了货却迟迟不退款，只能认栽了,"Returned but delayed refunds, only recognize planted"
460,还没有吃，看着和图片上的一样,"Have not eaten yet, and look the same as on the picture"
461,微软，味道不错但是口感看个人喜好。,"Microsoft, good taste but taste to see personal preferences."
462,为什幺喜欢在京东买东西，因为今天买明天就可以送到。为什幺每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单。京东购物这幺久，有买到很好的产品，也有买到较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上。,"Why do you like to buy things in Jingdong, because today can buy tomorrow to send. Why is the evaluation of each product the same, because too many things to buy in Jingdong, leading to the accumulation of a lot of unvalued orders. Jingdong shopping for a long time, have bought a good product, but also buy more pit products, if I use this paragraph to evaluate, that this product is no problem, at least 85 points or more."
463,太小了，没有图片一半大不值这钱,"Too small, not worth half the money this picture"
464,狗狗特别喜欢吃。给狗狗磨牙好,Dogs especially like to eat. Give the dog molars good
465,货已到，丶还没用看起还好,"The goods have arrived, Dian not use looks good"
466,两件货一起订的单，只发货一个，收了两份钱，还没退给我,"Two pieces of goods together set a single, only shipped one, received two money, have not returned to me"
467,非常好 绝对很值当 女朋友很喜欢,Very good Absolutely worth as a girlfriend liked
468,*10个，贵就算了，还不咋滴，客服态度也不咋地，刚想好好问问她就敷衍我说晚安，而且问问题不理我机器人吧,"* 10, even if you are not, ye drop, customer service attitude is not good, just want to ask her good perfunctory I say good night, and ask questions ignore my robot"
469,小约只想着吃肉不怎么吃饼干谢谢卖家送的小玩具日期是近期的包装也很严实,"Little about eating meat only do not eat biscuits Thank you, the seller sent the small toy is the recent package is also very tight"
470,活动买就是优惠，买东西就上京东了，送货上门，方便！,"Activities to buy is a discount, to buy things on the Jingdong, delivery, convenient!"
471,非常好。很热,very good. It's hot
472,东西不错哦！东西不错哦！,Good thing! Good thing!
473,反正价钱便宜。穿着就那样吧,"Anyway, the price is cheap. Just like that"
474,送到手已经软了,Sent to hand has been soft
475,好好好好好好好好好,"Good, good, good, good"
476,物流赶紧换家新的,Logistics quickly for a new home
477,外表看着美观大气上档次。一直信任京东。质量不错，送货很快，服务很好！ 太漂亮，大气，档次高，超喜欢。 货比三家，选的也好是辛苦啊?现在除了一碗热气腾腾的拉面，在强哥这里买不到其他的，只有你想不到没有买不到? 上午下单，下午到家速度啊！看着还行 货品不错，装了实用。质量可以。是值得购买 不错不错不错！！！！！！用了还可以，刚开始用有点涩。很干净，质感也不错，价位适中，性价比一般吧。 不错 物流一天就到了 整体感觉很不错，收到就用了，挺喜欢的，这个用的好，还要买多几个。 物美价廉，用着看看吧，免去市场购物之劳 ，推荐答案 我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上， 宝贝收到了，非常喜欢，质量很好，卖家热情，物流给力，非常愉快的一次购物，好评！,"Appearance looks beautiful atmosphere on the grade. Always trust Jingdong. Good quality, fast delivery, good service! Too beautiful, the atmosphere, high grade, super like. Shopping for more than three, the election is also hard ah? Now in addition to a bowl of steaming ramen, strong brother can not buy here, only you can not think of not buy? Morning orders, afternoon home speed ah! Looking at the good goods is also good, loaded with practical. Quality can be Is worth buying not bad not bad! ! ! ! ! ! With the can, just started with a bit astringent. Very clean, texture is not bad, the price is moderate, cost-effective in general. Good logistics to the overall feeling of the day is very good, received it used, quite like, this is good, but also buy more. Cheap, take a look at it, eliminating the need for market shopping, I recommend why I like to buy things in Jingdong, because today can buy tomorrow to buy. Why do I evaluate the same for each product, because too many things to buy in Jingdong, resulting in the accumulation of a lot of non-evaluation of the order, so I use the paragraph as a unified assessment content. Jingdong shopping for so long, have bought a good product, but also to buy more pit products, if I use this paragraph to evaluate, that this product is no problem, at least 85 points or more, baby received, very much like, quality Very good, seller enthusiasm, logistics force, a very pleasant shopping, praise!"
478,好评！当天拍第二天就到了，快递速度很快，快递员态度很不错，零食味道很香，小萨特别爱吃，以后就在这家买零食了,"Praise! Day to shoot the next day arrived, courier fast, courier attitude is very good, snack taste is very fragrant, especially little sausage, after buying snacks in this"
479,味道不错 满意,Taste good satisfaction
480,哦哦哦,Oh oh
481,东西使用了一般 价格还是有点偏高 发货速度慢的不想说了 联系客服催单了 客服好像是机器人只会说那几句话没有提供实际的帮助,Things use the general price is still a little high Delivery speed is slow Do not want to say contact customer service reminder Single customer seems to be the robot will only say a few words Did not provide practical help
482,物流莫名其妙地慢，包装开了个大口子。,"Somehow slow logistics, packaging opened a big hole."
483,好吃，顺丰特别快。服务特别好,"Delicious, SF is particularly fast. Service is particularly good"
484,糖还不错，制式标准。包装箱有些破损，所以四星。,"Sugar is not bad, standard. Some damaged boxes, so four-star."
485,我加老狗爱吃 都12年了,I add old dog love to eat for 12 years
486,618买的还算便宜，但是发货速度真是不行。我也知道活动很多货物要送，那我想选延后几天后者一周送也不行，不给选送货日期，也不能确定几号发货。平常生鲜都是当天或者第二天到，这次等了四五天都没发货，刚好要出差几天就出库了。提前打电话给客服说要出差生鲜无法收货，申请延迟发货，没用，客服说找人代收吧。我买了一堆生鲜找谁代收啊？等了将近一周偏偏在出差的时候出库送货，而且生鲜大热天的途中和到了配送站根本无法保证冷库和新鲜。果然出差回来送来的生鲜基本都化冻了，水果腐烂了。配送员没有问题我看到背着保温箱和冰袋上来的，关键是京东下单时的配送时间系统不行，我想错开高峰迟点送货都选不了，活动的时候你们明明送不来那么及时，还不让客户选择延迟，非要天天在家等着，等一周都等不到。这次买的量大，化冻了也没有换货，但是化了再冻回去口味就不那么好了。三文鱼刺身化冻了我也不敢生吃了。总之这次生鲜出库时间配送时间体验很不好。,"618 to buy fairly cheap, but the delivery speed is really not. I also know that many activities to send the goods, then I would like to choose a few days later to delay the delivery is not enough, do not give the date of delivery, also can not determine the number of delivery. Normal fresh or the day is the next day, this time four or five days have not shipped, just a few days to travel on the library. Call customer service in advance to say that business can not fresh receipt, apply for delayed delivery, useless, customer service said to find someone on behalf of the collection. I bought a pile of fresh to find who collection ah? Waiting for nearly a week happens when traveling on delivery, and fresh hot day on the way and to the delivery station simply can not guarantee cold storage and fresh. Sure enough, the fresh seafood brought back on business trips all froze and the fruit decayed. Delivery staff no problem I see holding the incubator and the ice bag up, the key is when the delivery order system Jingdong not work, I would like to stagger the peak delivery time are not selected, the event when you obviously do not send so timely , Do not let customers choose to delay, we must wait at home every day, waiting a week and so on. This time to buy a large amount, there is no change in the frozen, but then the taste of frozen back is not so good. Salmon sashimi I also dare not eaten raw. In short the delivery time of fresh storage time experience is not good."
487,1味道真心不错 2只是有些小贵 3包装也很精美 4很适合做零时 1味道真心不错 2只是有些小贵 3包装也很精美 4很适合做零时,1 really good taste 2 is just a few small expensive 3 package is also very beautiful 4 very suitable for zero when 1 taste really good 2 only some small expensive 3 package is also very beautiful 4 is suitable for zero
488,宝贝收到，物流很快以后再评论。,"Baby received, the logistics soon after the review."
489,性价比高，物流速度快，比超市便宜。,"Cost-effective, fast logistics, cheaper than the supermarket."
490,不错，物有所值,"Good, value for money"
491,非常好，喜欢,"Very good, like it"
492,食用方便，美味不可阻挡,"Easy to eat, delicious irresistible"
493,发货很快，味道不错满意,"Fast delivery, good taste and satisfaction"
494,味道不错哦,Taste good
495,味道确实很好，比德芙好吃。,"Taste really good, delicious than Dove."
496,还不错，希望孩子喜欢吃,"Not bad, I hope children like to eat"
497,油大，猫咪不喜欢,"Big oil, cats do not like it"
498,这包装我是服气的，申通什么时候开始收回扣打广告了,"This package I am convinced, when STO began to recover the buckle ad"
499,电脑程序坏了无物流物到战我也不知,Computer program is broken. I do not know if there is no material to war
500,价格虽然不便宜，不过方便，菜也新鲜，适合上班族家庭,"Although the price is not cheap, but convenience, food is also fresh, suitable for office workers"
501,活动很划算,Activities are cost-effective
502,物流太慢了,Logistics is too slow
503,送货速度太慢了 唉 再晚点我家小妞该挨饿了,"Delivery speed is too slow Oh, then my house chick that starved"
504,孩子刚7个月 这个饼干是8个月开始吃的 囤货 囤货,Children just seven months this cookie is 8 months to start eating stockpile stockpile
505,味道还不错，物有所值,"Taste is not bad, value for money"
506,送人的没看到啥样子,Did not see what kind of person
507,快递速度很快，前一天晚上十一点买的，第二天下午四点就到了。手机屏幕感觉有点大，拍照不怎幺清楚，电池撑的时间不长。发热还是比较厉害的，充电时间短，蔷薇粉的颜色很漂亮，播放音乐时音质也不错，没有玩游戏，平时用还可以。送的自拍杆很高端！！！,"Courier fast, the day before yesterday to buy at 11 o'clock the next day at four o'clock in the afternoon. Mobile phone screen feels a bit big, pictures are not clear, battery support time is not long. Fever is still more powerful, charging time is short, the color of rose powder is very beautiful, the sound quality is not bad when playing music, did not play the game, usually with OK. Sent Selfie is very high! ! !"
508,不错，物流挺快，媳妇儿也很喜欢。,"Yes, logistics is fast, daughter-in-law likes it too."
509,新手机屏幕右上角有个暗点，闲麻烦没换，结果手机用了不到一个月，HOME键就坏了，双击不出现多任务。这个质量，之前其他手机都没这么快坏的。之前相信锤子，现在是相信个锤子。然后送修，自己付运费就算，换个HOME健要10-30天！京东的效率也是没谁了，新手机买来就修，也没有任何补偿。再也不买锤子了，锤子就是个锤子，老罗再见。,"The new phone screen has a dark dot in the upper right corner, busy trouble did not change, the result of the phone took less than a month, HOME key is broken, double-click does not appear multi-tasking. This quality, before other mobile phones are not so bad. I believe before the hammer, it is believed a hammer. And then repair, even pay their own shipping, change HOME HOME to 10-30 days! Jingdong efficiency is no one who bought a new cell phone repair, there is no compensation. Never buy a hammer, the hammer is a hammer, old Luo goodbye."
510,还挺快的，包装好，高端大气上档次，女朋友很喜欢，物流挺快好评,"Very fast, well packaged, high-end atmosphere on the grade, girlfriend really like, very fast logistics"
511,袋子不错，很精致，中号的装糖也挺多的，很实在,"The bag is good, very delicate, medium size sugar is quite a lot, very real"
512,太肥了 感觉都不是五五而是七肥三瘦了我的天,Too fat feeling is not fifty-five but seven fat three lean my God
513,送了二十多天了期间没有任何解释，客服从开不在线，京东也是可以的，这个服务和物流满分好吧,"Send more than twenty days without any explanation, customer service from the open is not online, Jingdong is also possible, this service and logistics out of good alright"
514,很不错，女朋友很喜欢，送给女朋友，简直就是完美，甜蜜的拥抱，值得,"Very good, girlfriend really like, give girlfriend, it is perfect, sweet hug, it is worth"
515,"很喜欢在东东上网购，真的不错的，比其他网店实在，服务好；好喜欢，还会介绍朋友来，非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。 Thank you very much for the excellent service provided by Jingdong mall,and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same t","Really like online shopping in the east, really good, really better than other online stores, good service; really like, but also introduce friends, very grateful Jingdong Mall to give quality service, from warehousing management, logistics and distribution and other aspects Are doing very good. Delivery in a timely manner, delivery staff are also very enthusiastic, and sometimes inconvenient to receive the time, but also arrange the time to be delivered separately. At the same time Jingdong Mall in the after-sales management is also very good, to solve customer problems, eliminate all difficulties. Give us a very good shopping experience. Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same t"
516,买来装宝宝诞生礼盒的,Bought baby birth gift boxes
517,太差了。坏了好多啊,too poor. A lot of bad ah
518,不错耶，很愉快的一次购物，客服很细心的帮我处理了问题，小孩很爱吃,"Nice, very happy shopping, customer service is very helpful to help me deal with the problem, children love to eat"
519,到货快，服务态度好，主要是还很好吃！,"Arrival fast, good service attitude, mainly is still very tasty!"
520,物流太慢，，客服经常不在,"Logistics is too slow, customer service is often not"
521,快递很快，包装结实，拆包验货：很好哦，值得推荐！,"Fast delivery, strong packaging, unpacking inspection: Oh well, it is recommended!"
522,很青，不能吃，根本不能吃，,"Very young, can not eat, can not eat,"
523,挺好的，贪图便宜买的，原价500多实际123，哈哈,"Very good, covet cheap to buy, the original price of more than 500 actual 123, ha ha"
524,产品质量包装没任何问题！味道也不错！女朋友说很好吃！很漂亮！但就是发货速度慢了些！希望以后提速！,Product quality packaging no problem! Taste is not bad! Girlfriend said it was delicious! very beautiful! But it is shipping slower! Hope to speed up later!
525,以后还会再买 服务态度很好产品的质量也很好,Will buy good service attitude is good after the product quality is also very good
526,十年前就用过这产品，口味质量都不错值得大家购买！,"Ten years ago used this product, tastes good quality are worth buying!"
527,呃呃呃额呃呃呃还行,Uh uh uh er
528,这个稀奶油真心一般，没有一点咖啡味道，跟纯牛奶差不多。9月到期。做蛋糕或是披萨不建议购买。,"This cream really hearty, no taste of coffee, with almost pure milk. Due in September. Do not recommend cake or pizza."
529,方巾没送！！！,Did not send the towel! ! !
530,闻着挺香，但是我家猫不爱吃，不知道为啥，没见过不爱吃小鱼干的喵，心累,"Smell very fragrant, but my cat does not eat, do not know why, I have not seen do not like to eat dried fish meow, tired heart"
531,一般，没有超市买的好。感觉就是个体小商户做的东西。,"In general, there is no good supermarket to buy. The feeling is that individual small businesses to do something."
532,送的也太迷你了吧，好吃的话还是会再买的,"Sent too mini, delicious or will buy again"
533,第二次买，送给亲戚，都说很新鲜，很喜欢。,"The second time to buy relatives, say very fresh, very much."
534,商家折页出错，差评！,"Business folding error, bad review!"
535,巧克力控 超爱 喜欢 会再光顾 ? ? ?,Chocolate control love like to patronize?
536,第一次买，因为家里孩子喜欢吃这种寿司面包，希望味道好吃吧,"The first time to buy, because children at home like to eat this sushi bread, hoping it delicious"
537,猫猫爱吃，除了快递问题有点磕碰，有一处瘪了，别的都完美，对于个头大的猫这个罐头是有点小，可是是我买过所有罐头里最香的，一开始买猫猫舍的也推荐给我，就一直用这个罐头了。,"Cats love to eat, in addition to courier problems a little bump, a deflated, and others are perfect, for a big cat this can is a bit small, but I bought all the most delicious in the cans, the beginning to buy cats Also recommended to me, I have been using this can."
538,我们吃喜糖买的，质量很好，也有面子，推荐大家购买。,"We eat candy to buy, good quality, but also face, it is recommended that you buy."
539,垃圾了,Trash
540,扫了一下别人家本身就卖*你家卖*。上当了再也不会买你家东西了。,Sweep someone else's house to sell * your house to sell *. Fooled will never buy your home thing again.
